Datetime,AHU: Supply Air Temperature,AHU: Supply Air Temperature Set Point,AHU: Outdoor Air Temperature,Zone Air Temperature,AHU: Mixed Air Temperature,AHU: Return Air Temperature,AHU: Cooling Coil Valve Control Signal,Occupancy Mode Indicator
8/28/2007 6:25,79.47,55,73.68,77.44,76.83,77.44,0,1
8/28/2007 6:26,79.58,55,73.57,77.44,76.83,77.44,0,1
8/28/2007 6:27,79.69,55,73.53,77.54,76.94,77.54,1,1
8/28/2007 6:28,73.12,55,73.56,77.33,77.05,77.33,1,1
8/28/2007 6:29,66.88,55,73.56,76.7,76.83,76.7,1,1
8/28/2007 6:30,63.33,55,73.58,75.65,76.41,75.65,1,1
8/28/2007 6:31,61.82,55,73.6,74.7,75.98,74.7,1,1
8/28/2007 6:32,61.07,55,73.62,73.86,75.45,73.86,1,1
8/28/2007 6:33,60.96,55,73.57,73.34,75.14,73.34,1,1
8/28/2007 6:34,60.42,55,73.53,72.6,74.5,72.6,1,1
8/28/2007 6:35,59.99,55,73.54,72.18,74.18,72.18,1,1
8/28/2007 6:36,59.56,55,73.54,71.76,73.76,71.76,1,1
8/28/2007 6:37,59.13,55,73.61,71.34,73.33,71.34,1,1
8/28/2007 6:38,59.13,55,73.62,70.92,73.12,70.92,1,1
8/28/2007 6:39,58.7,55,73.56,70.71,72.91,70.71,1,1
8/28/2007 6:40,58.48,55,73.45,70.5,72.59,70.5,1,1
8/28/2007 6:41,58.38,55,73.36,70.39,72.48,70.39,1,1
8/28/2007 6:42,58.05,55,73.31,69.97,72.16,69.97,1,1
8/28/2007 6:43,58.05,55,73.31,69.76,71.85,69.76,1,1
8/28/2007 6:44,57.73,55,73.33,69.55,71.74,69.55,1,1
8/28/2007 6:45,57.84,55,73.36,69.45,71.53,69.45,1,1
8/28/2007 6:46,57.3,55,73.38,69.34,71.42,69.34,1,1
8/28/2007 6:47,56.55,55,73.41,69.97,71.63,69.97,1,1
8/28/2007 6:48,55.47,55,73.48,70.5,71.53,70.5,1,1
8/28/2007 6:49,54.39,55,73.52,71.02,71.85,71.02,0.98,1
8/28/2007 6:50,53.1,55,73.52,71.45,71.85,71.45,0.95,1
8/28/2007 6:51,51.81,55,73.61,71.55,71.95,71.55,0.89,1
8/28/2007 6:52,50.41,55,73.65,71.55,72.06,71.55,0.82,1
8/28/2007 6:53,49.55,55,73.7,71.66,72.06,71.66,0.74,1
8/28/2007 6:54,48.91,55,73.71,71.66,72.06,71.66,0.66,1
8/28/2007 6:55,48.26,55,73.77,71.66,72.16,71.66,0.58,1
8/28/2007 6:56,47.72,55,73.81,71.55,72.16,71.55,0.49,1
8/28/2007 6:57,47.61,55,73.81,71.55,72.16,71.55,0.4,1
8/28/2007 6:58,47.83,55,73.83,71.55,72.27,71.55,0.32,1
8/28/2007 6:59,48.26,55,73.85,71.55,72.27,71.55,0.25,1
8/28/2007 7:00,49.12,55,73.91,71.45,72.16,71.45,0.2,1
8/28/2007 7:01,50.41,55,73.92,71.55,72.27,71.55,0.17,1
8/28/2007 7:02,51.7,55,74,71.66,72.27,71.66,0.16,1
8/28/2007 7:03,52.78,55,74.09,71.55,72.27,71.55,0.15,1
8/28/2007 7:04,53.75,55,74.15,71.66,72.48,71.66,0.15,1
8/28/2007 7:05,54.39,55,74.22,71.55,72.27,71.55,0.16,1
8/28/2007 7:06,54.93,55,74.31,71.55,72.27,71.55,0.16,1
8/28/2007 7:07,55.36,55,74.35,71.76,72.59,71.76,0.18,1
8/28/2007 7:08,55.58,55,74.32,71.66,72.38,71.66,0.19,1
8/28/2007 7:09,55.9,55,74.31,71.76,72.38,71.76,0.2,1
8/28/2007 7:10,56.12,55,74.49,71.66,72.48,71.66,0.22,1
8/28/2007 7:11,56.55,55,74.63,71.97,72.7,71.97,0.24,1
8/28/2007 7:12,56.76,55,74.63,71.97,72.7,71.97,0.27,1
8/28/2007 7:13,56.87,55,74.66,71.87,72.59,71.87,0.29,1
8/28/2007 7:14,56.66,55,74.64,71.87,72.59,71.87,0.3,1
8/28/2007 7:15,56.44,55,74.72,71.97,72.7,71.97,0.32,1
8/28/2007 7:16,56.12,55,74.83,72.18,72.91,72.18,0.33,1
8/28/2007 7:17,56.12,55,74.91,71.97,72.7,71.97,0.34,1
8/28/2007 7:18,56.12,55,74.91,71.97,72.8,71.97,0.35,1
8/28/2007 7:19,56.22,55,74.96,71.87,72.7,71.87,0.37,1
8/28/2007 7:20,56.12,55,75.08,71.87,72.8,71.87,0.38,1
8/28/2007 7:21,56.12,55,75.14,71.97,72.8,71.97,0.4,1
8/28/2007 7:22,56.01,55,75.14,71.97,72.8,71.97,0.41,1
8/28/2007 7:23,55.36,55,75.22,71.87,72.8,71.87,0.4,1
8/28/2007 7:24,55.04,55,75.32,71.97,72.8,71.97,0.39,1
8/28/2007 7:25,54.93,55,75.33,71.87,72.8,71.87,0.39,1
8/28/2007 7:26,54.93,55,75.39,71.97,72.8,71.97,0.39,1
8/28/2007 7:27,54.93,55,75.4,71.87,72.8,71.87,0.39,1
8/28/2007 7:28,54.93,55,75.42,71.87,72.8,71.87,0.38,1
8/28/2007 7:29,54.61,55,75.37,71.87,72.8,71.87,0.38,1
8/28/2007 7:30,54.72,55,75.41,72.08,73.01,72.08,0.37,1
8/28/2007 7:31,54.61,55,75.51,71.87,72.8,71.87,0.37,1
8/28/2007 7:32,54.61,55,75.57,71.76,72.8,71.76,0.37,1
8/28/2007 7:33,54.5,55,75.68,71.76,72.7,71.76,0.36,1
8/28/2007 7:34,54.61,55,75.66,71.76,72.91,71.76,0.36,1
8/28/2007 7:35,54.5,55,75.66,71.87,72.91,71.87,0.35,1
8/28/2007 7:36,54.5,55,75.72,71.97,73.12,71.97,0.34,1
8/28/2007 7:37,54.39,55,75.75,71.87,72.8,71.87,0.34,1
8/28/2007 7:38,54.39,55,75.87,71.87,72.91,71.87,0.33,1
8/28/2007 7:39,54.5,55,75.95,71.87,72.91,71.87,0.32,1
8/28/2007 7:40,54.61,55,76.08,72.08,73.12,72.08,0.32,1
8/28/2007 7:41,54.5,55,76.18,71.76,72.91,71.76,0.32,1
8/28/2007 7:42,54.39,55,76.22,71.76,72.91,71.76,0.31,1
8/28/2007 7:43,54.72,55,76.22,71.76,72.91,71.76,0.3,1
8/28/2007 7:44,54.83,55,76.37,71.76,72.91,71.76,0.3,1
8/28/2007 7:45,54.72,55,76.42,71.76,73.01,71.76,0.3,1
8/28/2007 7:46,54.93,55,76.49,71.87,72.91,71.87,0.3,1
8/28/2007 7:47,54.72,55,76.48,71.87,72.91,71.87,0.29,1
8/28/2007 7:48,54.83,55,76.49,71.76,72.91,71.76,0.3,1
8/28/2007 7:49,54.83,55,76.64,72.08,73.23,72.08,0.29,1
8/28/2007 7:50,54.83,55,76.74,71.97,73.23,71.97,0.29,1
8/28/2007 7:51,55.04,55,76.83,71.76,72.91,71.76,0.3,1
8/28/2007 7:52,55.15,55,76.92,71.66,72.91,71.66,0.29,1
8/28/2007 7:53,54.83,55,76.93,71.76,73.01,71.76,0.29,1
8/28/2007 7:54,54.83,55,76.98,71.87,73.12,71.87,0.29,1
8/28/2007 7:55,54.83,55,77,71.76,73.01,71.76,0.29,1
8/28/2007 7:56,54.83,55,77.08,71.76,73.01,71.76,0.29,1
8/28/2007 7:57,54.72,55,77.11,71.76,72.91,71.76,0.29,1
8/28/2007 7:58,55.04,55,77.15,71.76,73.01,71.76,0.29,1
8/28/2007 7:59,54.93,55,77.22,71.87,73.01,71.87,0.29,1
8/28/2007 8:00,54.93,55,77.31,71.76,73.01,71.76,0.29,1
8/28/2007 8:01,54.93,55,77.36,71.87,72.91,71.87,0.29,1
8/28/2007 8:02,55.15,55,77.38,72.18,73.01,72.18,0.28,1
8/28/2007 8:03,55.04,55,77.36,72.5,73.12,72.5,0.29,1
8/28/2007 8:04,54.93,55,77.45,72.92,73.33,72.92,0.28,1
8/28/2007 8:05,55.04,55,77.5,73.13,73.44,73.13,0.29,1
8/28/2007 8:06,55.15,55,77.49,73.44,73.65,73.44,0.29,1
8/28/2007 8:07,55.15,55,77.53,73.55,73.76,73.55,0.29,1
8/28/2007 8:08,55.26,55,77.56,73.86,74.07,73.86,0.3,1
8/28/2007 8:09,55.26,55,77.51,73.86,73.97,73.86,0.3,1
8/28/2007 8:10,55.47,55,77.62,74.18,74.29,74.18,0.31,1
8/28/2007 8:11,55.47,55,77.63,73.97,74.29,73.97,0.31,1
8/28/2007 8:12,55.58,55,77.7,74.18,74.5,74.18,0.32,1
8/28/2007 8:13,55.79,55,77.88,73.97,74.29,73.97,0.33,1
8/28/2007 8:14,55.79,55,77.94,73.97,74.39,73.97,0.34,1
8/28/2007 8:15,55.79,55,77.89,73.97,74.5,73.97,0.35,1
8/28/2007 8:16,55.79,55,77.9,74.28,74.71,74.28,0.36,1
8/28/2007 8:17,55.9,55,77.85,74.18,74.6,74.18,0.37,1
8/28/2007 8:18,55.9,55,77.83,74.49,74.71,74.49,0.38,1
8/28/2007 8:19,55.79,55,77.8,74.6,74.71,74.6,0.39,1
8/28/2007 8:20,55.69,55,77.79,74.81,74.92,74.81,0.4,1
8/28/2007 8:21,55.58,55,77.84,74.92,75.03,74.92,0.4,1
8/28/2007 8:22,55.58,55,77.89,75.02,75.14,75.02,0.41,1
8/28/2007 8:23,55.58,55,77.93,75.13,75.14,75.13,0.42,1
8/28/2007 8:24,55.47,55,77.95,75.23,75.45,75.23,0.42,1
8/28/2007 8:25,55.69,55,78,75.23,75.45,75.23,0.43,1
8/28/2007 8:26,55.47,55,78.07,74.92,75.35,74.92,0.43,1
8/28/2007 8:27,55.47,55,78.15,74.92,75.35,74.92,0.44,1
8/28/2007 8:28,55.47,55,78.12,74.92,75.35,74.92,0.45,1
8/28/2007 8:29,55.47,55,78.13,74.7,75.35,74.7,0.45,1
8/28/2007 8:30,55.47,55,78.2,74.92,75.35,74.92,0.45,1
8/28/2007 8:31,55.58,55,78.19,75.13,75.56,75.13,0.46,1
8/28/2007 8:32,55.58,55,78.14,74.7,75.35,74.7,0.47,1
8/28/2007 8:33,55.58,55,78.16,74.39,75.35,74.39,0.47,1
8/28/2007 8:34,55.58,55,78.21,74.49,75.35,74.49,0.48,1
8/28/2007 8:35,55.58,55,78.33,74.39,75.24,74.39,0.49,1
8/28/2007 8:36,56.01,55,78.51,74.28,75.24,74.28,0.5,1
8/28/2007 8:37,55.9,55,78.6,74.18,75.14,74.18,0.52,1
8/28/2007 8:38,56.12,55,78.65,74.07,75.24,74.07,0.53,1
8/28/2007 8:39,56.22,55,78.7,74.49,75.35,74.49,0.54,1
8/28/2007 8:40,56.55,55,78.79,74.28,75.14,74.28,0.56,1
8/28/2007 8:41,56.33,55,78.94,74.07,75.24,74.07,0.58,1
8/28/2007 8:42,56.44,55,79.05,74.18,75.35,74.18,0.59,1
8/28/2007 8:43,56.44,55,79.06,74.07,75.03,74.07,0.61,1
8/28/2007 8:44,56.66,55,78.97,74.07,75.14,74.07,0.63,1
8/28/2007 8:45,56.66,55,78.96,74.07,75.03,74.07,0.65,1
8/28/2007 8:46,56.76,55,78.95,73.97,75.14,73.97,0.67,1
8/28/2007 8:47,56.66,55,78.91,73.97,74.92,73.97,0.69,1
8/28/2007 8:48,56.66,55,78.93,73.86,75.03,73.86,0.71,1
8/28/2007 8:49,56.76,55,79.08,73.76,75.03,73.76,0.74,1
8/28/2007 8:50,57.09,55,79.22,73.86,75.14,73.86,0.76,1
8/28/2007 8:51,56.98,55,79.35,73.76,75.14,73.76,0.78,1
8/28/2007 8:52,57.41,55,79.41,73.76,75.03,73.76,0.82,1
8/28/2007 8:53,57.41,55,79.36,73.76,75.14,73.76,0.84,1
8/28/2007 8:54,57.41,55,79.43,73.76,75.03,73.76,0.88,1
8/28/2007 8:55,57.62,55,79.59,73.86,75.14,73.86,0.91,1
8/28/2007 8:56,57.73,55,79.64,73.76,75.14,73.76,0.94,1
8/28/2007 8:57,57.95,55,79.74,73.76,75.14,73.76,0.97,1
8/28/2007 8:58,58.16,55,79.8,73.97,75.35,73.97,1,1
8/28/2007 8:59,58.48,55,79.84,73.76,75.14,73.76,1,1
8/28/2007 9:00,58.59,55,79.89,73.65,75.14,73.65,1,1
8/28/2007 9:01,58.7,55,79.89,73.97,75.35,73.97,1,1
8/28/2007 9:02,58.7,55,79.83,73.65,75.14,73.65,1,1
8/28/2007 9:03,58.81,55,79.85,73.76,75.14,73.76,1,1
8/28/2007 9:04,59.13,55,79.99,73.76,75.14,73.76,1,1
8/28/2007 9:05,59.02,55,80.01,73.76,75.24,73.76,1,1
8/28/2007 9:06,58.92,55,80.05,73.76,75.24,73.76,1,1
8/28/2007 9:07,58.7,55,80.14,73.86,75.45,73.86,1,1
8/28/2007 9:08,58.59,55,80.22,73.55,75.24,73.55,1,1
8/28/2007 9:09,58.38,55,80.22,73.86,75.35,73.86,1,1
8/28/2007 9:10,58.59,55,80.27,73.76,75.35,73.76,1,1
8/28/2007 9:11,58.16,55,80.34,73.76,75.35,73.76,1,1
8/28/2007 9:12,58.05,55,80.41,73.65,75.35,73.65,1,1
8/28/2007 9:13,57.95,55,80.42,73.76,75.35,73.76,1,1
8/28/2007 9:14,57.84,55,80.45,73.55,75.14,73.55,1,1
8/28/2007 9:15,57.73,55,80.62,73.55,75.24,73.55,1,1
8/28/2007 9:16,57.52,55,80.54,73.44,75.14,73.44,1,1
8/28/2007 9:17,57.62,55,80.52,73.34,75.14,73.34,1,1
8/28/2007 9:18,57.3,55,80.59,73.55,75.35,73.55,1,1
8/28/2007 9:19,57.19,55,80.68,73.55,75.35,73.55,1,1
8/28/2007 9:20,57.3,55,80.79,73.13,75.03,73.13,1,1
8/28/2007 9:21,57.3,55,80.88,73.13,75.03,73.13,1,1
8/28/2007 9:22,56.98,55,80.86,73.23,75.14,73.23,1,1
8/28/2007 9:23,57.19,55,80.84,73.13,75.03,73.13,1,1
8/28/2007 9:24,56.87,55,80.8,72.92,75.03,72.92,1,1
8/28/2007 9:25,56.76,55,80.79,73.13,75.24,73.13,1,1
8/28/2007 9:26,56.98,55,80.92,73.02,74.92,73.02,1,1
8/28/2007 9:27,56.98,55,81.04,73.02,75.03,73.02,1,1
8/28/2007 9:28,56.87,55,81.13,73.34,75.24,73.34,1,1
8/28/2007 9:29,56.66,55,81.22,73.23,75.14,73.23,1,1
8/28/2007 9:30,56.55,55,81.3,73.23,75.14,73.23,1,1
8/28/2007 9:31,56.66,55,81.25,73.13,75.24,73.13,1,1
8/28/2007 9:32,56.55,55,81.32,72.92,74.92,72.92,1,1
8/28/2007 9:33,56.44,55,81.56,72.81,75.03,72.81,1,1
8/28/2007 9:34,56.33,55,81.75,73.02,75.14,73.02,1,1
8/28/2007 9:35,56.76,55,81.85,73.02,75.24,73.02,1,1
8/28/2007 9:36,56.66,55,81.87,73.23,75.24,73.23,1,1
8/28/2007 9:37,56.55,55,81.73,73.02,75.03,73.02,1,1
8/28/2007 9:38,56.33,55,81.83,73.02,75.24,73.02,1,1
8/28/2007 9:39,56.55,55,82.04,72.81,75.03,72.81,1,1
8/28/2007 9:40,56.55,55,82.17,72.92,75.03,72.92,1,1
8/28/2007 9:41,56.44,55,82.21,73.23,75.24,73.23,1,1
8/28/2007 9:42,56.76,55,82.35,73.13,75.24,73.13,1,1
8/28/2007 9:43,56.44,55,82.42,73.02,75.24,73.02,1,1
8/28/2007 9:44,56.55,55,82.38,73.13,75.24,73.13,1,1
8/28/2007 9:45,56.55,55,82.49,72.81,75.03,72.81,1,1
8/28/2007 9:46,56.55,55,82.52,72.92,75.03,72.92,1,1
8/28/2007 9:47,56.66,55,82.6,73.02,75.14,73.02,1,1
8/28/2007 9:48,56.44,55,82.68,73.13,75.35,73.13,1,1
8/28/2007 9:49,56.44,55,82.77,72.92,75.03,72.92,1,1
8/28/2007 9:50,56.44,55,82.77,73.13,75.35,73.13,1,1
8/28/2007 9:51,56.44,55,82.93,73.02,75.24,73.02,1,1
8/28/2007 9:52,56.44,55,83.11,72.92,75.14,72.92,1,1
8/28/2007 9:53,56.66,55,83.04,72.81,75.35,72.81,1,1
8/28/2007 9:54,56.44,55,83.11,73.13,75.35,73.13,1,1
8/28/2007 9:55,56.44,55,83.18,72.81,75.03,72.81,1,1
8/28/2007 9:56,56.66,55,83.3,73.02,75.14,73.02,1,1
8/28/2007 9:57,56.44,55,83.45,73.13,75.14,73.13,1,1
8/28/2007 9:58,56.44,55,83.48,73.13,75.45,73.13,1,1
8/28/2007 9:59,56.66,55,83.6,73.13,75.45,73.13,1,1
8/28/2007 10:00,56.66,55,83.73,72.81,75.14,72.81,1,1
8/28/2007 10:01,56.44,55,83.9,73.02,75.24,73.02,1,1
8/28/2007 10:02,56.55,55,83.82,73.34,75.45,73.34,1,1
8/28/2007 10:03,56.33,55,83.73,73.23,75.45,73.23,1,1
8/28/2007 10:04,56.22,55,83.52,73.02,75.35,73.02,1,1
8/28/2007 10:05,56.12,55,83.61,73.23,75.56,73.23,1,1
8/28/2007 10:06,56.33,55,83.6,72.92,75.24,72.92,1,1
8/28/2007 10:07,56.33,55,83.41,72.92,75.35,72.92,1,1
8/28/2007 10:08,56.01,55,83.46,73.13,75.56,73.13,1,1
8/28/2007 10:09,56.01,55,83.54,72.92,75.35,72.92,1,1
8/28/2007 10:10,56.22,55,83.68,73.02,75.35,73.02,1,1
8/28/2007 10:11,56.01,55,83.74,73.02,75.45,73.02,1,1
8/28/2007 10:12,55.9,55,83.86,72.92,75.35,72.92,1,1
8/28/2007 10:13,56.12,55,83.91,72.92,75.45,72.92,1,1
8/28/2007 10:14,56.12,55,83.99,73.13,75.56,73.13,1,1
8/28/2007 10:15,56.12,55,84.18,73.13,75.45,73.13,1,1
8/28/2007 10:16,56.12,55,84.15,73.23,75.67,73.23,1,1
8/28/2007 10:17,56.12,55,84.22,73.34,75.67,73.34,1,1
8/28/2007 10:18,56.12,55,84.25,73.13,75.67,73.13,1,1
8/28/2007 10:19,56.01,55,84.33,73.02,75.56,73.02,1,1
8/28/2007 10:20,55.79,55,84.44,73.13,75.77,73.13,1,1
8/28/2007 10:21,55.79,55,84.46,73.13,75.45,73.13,1,1
8/28/2007 10:22,56.01,55,84.43,73.02,75.67,73.02,1,1
8/28/2007 10:23,55.79,55,84.52,72.92,75.45,72.92,1,1
8/28/2007 10:24,55.79,55,84.44,73.02,75.45,73.02,1,1
8/28/2007 10:25,56.01,55,84.51,73.13,75.67,73.13,1,1
8/28/2007 10:26,56.01,55,84.58,72.92,75.56,72.92,1,1
8/28/2007 10:27,56.01,55,84.53,73.02,75.67,73.02,1,1
8/28/2007 10:28,55.79,55,84.65,73.13,75.77,73.13,1,1
8/28/2007 10:29,56.01,55,84.75,72.92,75.56,72.92,1,1
8/28/2007 10:30,55.79,55,84.77,73.23,75.77,73.23,1,1
8/28/2007 10:31,56.01,55,84.83,73.23,75.77,73.23,1,1
8/28/2007 10:32,56.01,55,84.81,73.13,75.77,73.13,1,1
8/28/2007 10:33,55.79,55,84.63,73.23,75.67,73.23,1,1
8/28/2007 10:34,55.79,55,84.7,73.23,75.77,73.23,1,1
8/28/2007 10:35,55.79,55,84.95,73.02,75.67,73.02,1,1
8/28/2007 10:36,55.79,55,84.98,73.02,75.88,73.02,1,1
8/28/2007 10:37,55.9,55,84.97,73.02,75.67,73.02,1,1
8/28/2007 10:38,55.79,55,85.05,73.23,75.77,73.23,1,1
8/28/2007 10:39,55.79,55,85.08,73.34,75.88,73.34,1,1
8/28/2007 10:40,55.79,55,85.11,73.13,75.67,73.13,1,1
8/28/2007 10:41,55.79,55,85.18,73.23,75.88,73.23,1,1
8/28/2007 10:42,55.79,55,85.22,73.23,75.88,73.23,1,1
8/28/2007 10:43,56.01,55,85.3,73.13,75.67,73.13,1,1
8/28/2007 10:44,56.01,55,85.18,73.23,75.88,73.23,1,1
8/28/2007 10:45,55.69,55,85.29,73.02,75.77,73.02,1,1
8/28/2007 10:46,55.69,55,85.21,73.13,75.67,73.13,1,1
8/28/2007 10:47,55.9,55,85.19,73.13,75.77,73.13,1,1
8/28/2007 10:48,55.69,55,85.24,73.34,75.98,73.34,1,1
8/28/2007 10:49,55.79,55,85.32,73.23,75.77,73.23,1,1
8/28/2007 10:50,55.9,55,85.37,73.13,75.88,73.13,1,1
8/28/2007 10:51,55.69,55,85.44,73.13,75.77,73.13,1,1
8/28/2007 10:52,55.58,55,85.36,73.13,75.88,73.13,1,1
8/28/2007 10:53,55.69,55,85.34,73.34,75.98,73.34,1,1
8/28/2007 10:54,55.58,55,85.53,73.13,75.77,73.13,1,1
8/28/2007 10:55,55.9,55,85.6,73.13,75.88,73.13,1,1
8/28/2007 10:56,55.58,55,85.66,73.02,75.88,73.02,1,1
8/28/2007 10:57,55.79,55,85.58,73.23,76.09,73.23,1,1
8/28/2007 10:58,55.58,55,85.6,73.13,75.98,73.13,1,1
8/28/2007 10:59,56.01,55,85.92,73.13,75.88,73.13,1,1
8/28/2007 11:00,55.9,55,86.21,73.34,76.09,73.34,1,1
8/28/2007 11:01,55.79,55,86.27,73.23,75.98,73.23,1,1
8/28/2007 11:02,55.79,55,86.2,73.02,75.88,73.02,1,1
8/28/2007 11:03,55.79,55,86.28,73.23,76.2,73.23,1,1
8/28/2007 11:04,56.01,55,86.26,73.34,76.2,73.34,1,1
8/28/2007 11:05,55.9,55,86.24,73.34,76.2,73.34,1,1
8/28/2007 11:06,55.69,55,86.25,73.44,76.2,73.44,1,1
8/28/2007 11:07,55.79,55,86.25,73.13,76.09,73.13,1,1
8/28/2007 11:08,55.69,55,86.4,73.13,75.98,73.13,1,1
8/28/2007 11:09,55.9,55,86.45,73.23,76.09,73.23,1,1
8/28/2007 11:10,56.01,55,86.47,73.34,76.3,73.34,1,1
8/28/2007 11:11,55.79,55,86.48,73.34,76.3,73.34,1,1
8/28/2007 11:12,55.79,55,86.6,73.44,76.3,73.44,1,1
8/28/2007 11:13,56.01,55,86.65,73.23,76.2,73.23,1,1
8/28/2007 11:14,56.01,55,86.64,73.13,76.09,73.13,1,1
8/28/2007 11:15,56.01,55,86.56,73.13,76.2,73.13,1,1
8/28/2007 11:16,56.01,55,86.76,73.34,76.41,73.34,1,1
8/28/2007 11:17,55.9,55,86.92,73.23,76.2,73.23,1,1
8/28/2007 11:18,55.79,55,87.02,73.13,76.09,73.13,1,1
8/28/2007 11:19,56.12,55,87.1,73.13,76.2,73.13,1,1
8/28/2007 11:20,56.12,55,87.23,73.34,76.41,73.34,1,1
8/28/2007 11:21,56.12,55,87.14,73.13,76.2,73.13,1,1
8/28/2007 11:22,56.22,55,86.99,73.44,76.41,73.44,1,1
8/28/2007 11:23,56.12,55,86.83,73.23,76.2,73.23,1,1
8/28/2007 11:24,55.79,55,86.79,73.44,76.41,73.44,1,1
8/28/2007 11:25,56.12,55,86.81,73.55,76.51,73.55,1,1
8/28/2007 11:26,56.12,55,86.79,73.55,76.41,73.55,1,1
8/28/2007 11:27,55.9,55,86.9,73.23,76.3,73.23,1,1
8/28/2007 11:28,56.12,55,87.15,73.44,76.51,73.44,1,1
8/28/2007 11:29,56.01,55,87.08,73.44,76.51,73.44,1,1
8/28/2007 11:30,56.01,55,87.09,73.44,76.3,73.44,1,1
8/28/2007 11:31,56.12,55,87.13,73.23,76.2,73.23,1,1
8/28/2007 11:32,55.9,55,87.26,73.44,76.51,73.44,1,1
8/28/2007 11:33,56.22,55,87.35,73.23,76.3,73.23,1,1
8/28/2007 11:34,56.01,55,87.33,73.23,76.3,73.23,1,1
8/28/2007 11:35,56.22,55,87.43,73.23,76.41,73.23,1,1
8/28/2007 11:36,56.22,55,87.45,73.55,76.51,73.55,1,1
8/28/2007 11:37,56.22,55,87.57,73.23,76.3,73.23,1,1
8/28/2007 11:38,56.22,55,87.67,73.44,76.62,73.44,1,1
8/28/2007 11:39,56.22,55,88,73.44,76.51,73.44,1,1
8/28/2007 11:40,56.33,55,88.47,73.23,76.3,73.23,1,1
8/28/2007 11:41,56.12,55,88.31,73.23,76.41,73.23,1,1
8/28/2007 11:42,56.22,55,88.16,73.23,76.41,73.23,1,1
8/28/2007 11:43,56.12,55,88.02,73.34,76.51,73.34,1,1
8/28/2007 11:44,56.01,55,87.79,73.34,76.3,73.34,1,1
8/28/2007 11:45,56.22,55,87.73,73.34,76.41,73.34,1,1
8/28/2007 11:46,56.01,55,87.73,73.55,76.73,73.55,1,1
8/28/2007 11:47,56.33,55,87.63,73.23,76.41,73.23,1,1
8/28/2007 11:48,56.22,55,87.62,73.44,76.62,73.44,1,1
8/28/2007 11:49,56.33,55,87.66,73.44,76.62,73.44,1,1
8/28/2007 11:50,56.33,55,87.94,73.13,76.3,73.13,1,1
8/28/2007 11:51,56.44,55,88.17,73.34,76.41,73.34,1,1
8/28/2007 11:52,56.12,55,88.01,73.55,76.62,73.55,1,1
8/28/2007 11:53,56.22,55,87.98,73.23,76.51,73.23,1,1
8/28/2007 11:54,56.22,55,88.19,73.34,76.62,73.34,1,1
8/28/2007 11:55,56.33,55,88.35,73.44,76.73,73.44,1,1
8/28/2007 11:56,56.22,55,88.22,73.55,76.73,73.55,1,1
8/28/2007 11:57,56.22,55,88.11,73.34,76.51,73.34,1,1
8/28/2007 11:58,56.44,55,88.14,73.65,76.73,73.65,1,1
8/28/2007 11:59,56.12,55,87.95,73.44,76.51,73.44,1,1
8/28/2007 12:00,56.12,55,87.94,73.55,76.73,73.55,1,1
8/28/2007 12:01,56.33,55,87.88,73.34,76.73,73.34,1,1
8/28/2007 12:02,56.12,55,87.8,72.92,76.51,72.92,1,1
8/28/2007 12:03,56.33,55,87.67,72.6,76.3,72.6,1,1
