Datetime,AHU: Supply Air Temperature,AHU: Supply Air Temperature Set Point,Zone Air Temperature,AHU: Outdoor Air Temperature,Zone Air Temperature.1,AHU: Mixed Air Temperature,AHU: Return Air Temperature,AHU: Cooling Coil Valve Control Signal,Occupancy Mode Indicator,Supply Air Volume,Q_fan,Q_chill,Q_total,Q_vav,Total
8/28/2007 7:38,54.39,55,71.87,75.87,71.87,72.91,71.87,0.33,1,37.19,46.4875,202.87,0.249,0.02048,0.26948
8/28/2007 7:39,54.5,55,71.87,75.95,71.87,72.91,71.87,0.32,1,37.43,46.7875,202.97,0.25,0.02062,0.27062
8/28/2007 7:40,54.61,55,72.08,76.08,72.08,73.12,72.08,0.32,1,37.21,46.5125,202.87,0.249,0.0228,0.2718
8/28/2007 7:41,54.5,55,71.76,76.18,71.76,72.91,71.76,0.32,1,37.67,47.0875,204.27,0.251,0.01953,0.27053
8/28/2007 7:42,54.39,55,71.76,76.22,71.76,72.91,71.76,0.31,1,37.43,46.7875,204.18,0.251,0.0194,0.2704
8/28/2007 7:43,54.72,55,71.76,76.22,71.76,72.91,71.76,0.3,1,38.15,47.6875,204.4,0.252,0.01978,0.27178
8/28/2007 7:44,54.83,55,71.76,76.37,71.76,72.91,71.76,0.3,1,38.4,48,204.5,0.253,0.01991,0.27291
8/28/2007 7:45,54.72,55,71.76,76.42,71.76,73.01,71.76,0.3,1,38.15,47.6875,205.53,0.253,0.01978,0.27278
8/28/2007 7:46,54.93,55,71.87,76.49,71.87,72.91,71.87,0.3,1,38.38,47.975,203.26,0.251,0.02114,0.27214
8/28/2007 7:47,54.72,55,71.87,76.48,71.87,72.91,71.87,0.29,1,37.91,47.3875,203.12,0.251,0.02088,0.27188
8/28/2007 7:48,54.83,55,71.76,76.49,71.76,72.91,71.76,0.3,1,38.4,48,204.5,0.253,0.01991,0.27291
8/28/2007 7:49,54.83,55,72.08,76.64,72.08,73.23,72.08,0.29,1,37.69,47.1125,204.27,0.251,0.02309,0.27409
8/28/2007 7:50,54.83,55,71.97,76.74,71.97,73.23,71.97,0.29,1,37.93,47.4125,205.57,0.253,0.02201,0.27501
8/28/2007 7:51,55.04,55,71.76,76.83,71.76,72.91,71.76,0.3,1,38.88,48.6,204.65,0.253,0.02016,0.27316
8/28/2007 7:52,55.15,55,71.66,76.92,71.66,72.91,71.66,0.29,1,39.38,49.225,206,0.255,0.01925,0.27425
8/28/2007 7:53,54.83,55,71.76,76.93,71.76,73.01,71.76,0.29,1,38.4,48,205.63,0.254,0.01991,0.27391
8/28/2007 7:54,54.83,55,71.87,76.98,71.87,73.12,71.87,0.29,1,38.15,47.6875,205.53,0.253,0.02101,0.27401
8/28/2007 7:55,54.83,55,71.76,77,71.76,73.01,71.76,0.29,1,38.4,48,205.63,0.254,0.01991,0.27391
8/28/2007 7:56,54.83,55,71.76,77.08,71.76,73.01,71.76,0.29,1,38.4,48,205.63,0.254,0.01991,0.27391
8/28/2007 7:57,54.72,55,71.76,77.11,71.76,72.91,71.76,0.29,1,38.15,47.6875,204.4,0.252,0.01978,0.27178
8/28/2007 7:58,55.04,55,71.76,77.15,71.76,73.01,71.76,0.29,1,38.88,48.6,205.79,0.254,0.02016,0.27416
8/28/2007 7:59,54.93,55,71.87,77.22,71.87,73.01,71.87,0.29,1,38.38,47.975,204.39,0.252,0.02114,0.27314
8/28/2007 8:00,54.93,55,71.76,77.31,71.76,73.01,71.76,0.29,1,38.63,48.2875,205.72,0.254,0.02003,0.27403
8/28/2007 8:01,54.93,55,71.87,77.36,71.87,72.91,71.87,0.29,1,38.38,47.975,203.26,0.251,0.02114,0.27214
8/28/2007 8:02,55.15,55,72.18,77.38,72.18,73.01,72.18,0.28,1,38.17,47.7125,200.8,0.249,0.02451,0.27351
8/28/2007 8:03,55.04,55,72.5,77.36,72.5,73.12,72.5,0.29,1,37.23,46.5375,198.27,0.245,0.02742,0.27242
8/28/2007 8:04,54.93,55,72.92,77.45,72.92,73.33,72.92,0.28,1,36.14,45.175,195.87,0.241,0.03108,0.27208
8/28/2007 8:05,55.04,55,73.13,77.5,73.13,73.44,73.13,0.29,1,35.94,44.925,194.78,0.24,0.03313,0.27313
8/28/2007 8:06,55.15,55,73.44,77.49,73.44,73.65,73.44,0.29,1,35.54,44.425,193.66,0.238,0.03601,0.27401
8/28/2007 8:07,55.15,55,73.55,77.53,73.55,73.76,73.55,0.29,1,35.33,44.1625,193.66,0.238,0.03694,0.27494
8/28/2007 8:08,55.26,55,73.86,77.56,73.86,74.07,73.86,0.3,1,34.95,43.6875,193.64,0.237,0.03974,0.27674
8/28/2007 8:09,55.26,55,73.86,77.51,73.86,73.97,73.86,0.3,1,34.95,43.6875,192.61,0.236,0.03974,0.27574
8/28/2007 8:10,55.47,55,74.18,77.62,74.18,74.29,74.18,0.31,1,34.75,43.4375,192.63,0.236,0.04278,0.27878
8/28/2007 8:11,55.47,55,73.97,77.63,73.97,74.29,73.97,0.31,1,35.14,43.925,194.8,0.239,0.04109,0.28009
8/28/2007 8:12,55.58,55,74.18,77.7,74.18,74.5,74.18,0.32,1,34.95,43.6875,194.77,0.238,0.04303,0.28103
8/28/2007 8:13,55.79,55,73.97,77.88,73.97,74.29,73.97,0.33,1,35.76,44.7,194.86,0.24,0.04182,0.28182
8/28/2007 8:14,55.79,55,73.97,77.94,73.97,74.39,73.97,0.34,1,35.76,44.7,195.91,0.241,0.04182,0.28282
8/28/2007 8:15,55.79,55,73.97,77.89,73.97,74.5,73.97,0.35,1,35.76,44.7,197.07,0.242,0.04182,0.28382
8/28/2007 8:16,55.79,55,74.28,77.9,74.28,74.71,74.28,0.36,1,35.16,43.95,195.94,0.24,0.04433,0.28433
8/28/2007 8:17,55.9,55,74.18,77.85,74.18,74.6,74.18,0.37,1,35.56,44.45,195.87,0.24,0.04378,0.28378
8/28/2007 8:18,55.9,55,74.49,77.83,74.49,74.71,74.49,0.38,1,34.97,43.7125,193.75,0.237,0.04625,0.28325
8/28/2007 8:19,55.79,55,74.6,77.8,74.6,74.71,74.6,0.39,1,34.56,43.2,192.6,0.236,0.04683,0.28283
8/28/2007 8:20,55.69,55,74.81,77.79,74.81,74.92,74.81,0.4,1,34,42.5,192.58,0.235,0.04817,0.28317
8/28/2007 8:21,55.58,55,74.92,77.84,74.92,75.03,74.92,0.4,1,33.61,42.0125,192.55,0.235,0.04871,0.28371
8/28/2007 8:22,55.58,55,75.02,77.89,75.02,75.14,75.02,0.41,1,33.44,41.8,192.66,0.234,0.04945,0.28345
8/28/2007 8:23,55.58,55,75.13,77.93,75.13,75.14,75.13,0.42,1,33.25,41.5625,191.57,0.233,0.05024,0.28324
8/28/2007 8:24,55.47,55,75.23,77.95,75.23,75.45,75.23,0.42,1,32.9,41.125,193.62,0.235,0.05068,0.28568
8/28/2007 8:25,55.69,55,75.23,78,75.23,75.45,75.23,0.43,1,33.27,41.5875,193.64,0.235,0.05125,0.28625
8/28/2007 8:26,55.47,55,74.92,78.07,74.92,75.35,74.92,0.43,1,33.42,41.775,195.7,0.237,0.04843,0.28543
8/28/2007 8:27,55.47,55,74.92,78.15,74.92,75.35,74.92,0.44,1,33.42,41.775,195.7,0.237,0.04843,0.28543
8/28/2007 8:28,55.47,55,74.92,78.12,74.92,75.35,74.92,0.45,1,33.42,41.775,195.7,0.237,0.04843,0.28543
8/28/2007 8:29,55.47,55,74.7,78.13,74.7,75.35,74.7,0.45,1,33.81,42.2625,197.98,0.24,0.04681,0.28681
8/28/2007 8:30,55.47,55,74.92,78.2,74.92,75.35,74.92,0.45,1,33.42,41.775,195.7,0.237,0.04843,0.28543
8/28/2007 8:31,55.58,55,75.13,78.19,75.13,75.56,75.13,0.46,1,33.25,41.5625,195.68,0.237,0.05024,0.28724
8/28/2007 8:32,55.58,55,74.7,78.14,74.7,75.35,74.7,0.47,1,34,42.5,197.99,0.24,0.04707,0.28707
8/28/2007 8:33,55.58,55,74.39,78.16,74.39,75.35,74.39,0.47,1,34.56,43.2,201.25,0.244,0.04469,0.28869
8/28/2007 8:34,55.58,55,74.49,78.21,74.49,75.35,74.49,0.48,1,34.38,42.975,200.2,0.243,0.04547,0.28847
8/28/2007 8:35,55.58,55,74.39,78.33,74.39,75.24,74.39,0.49,1,34.56,43.2,200.13,0.243,0.04469,0.28769
8/28/2007 8:36,56.01,55,74.28,78.51,74.28,75.24,74.28,0.5,1,35.58,44.475,201.53,0.246,0.04485,0.29085
8/28/2007 8:37,55.9,55,74.18,78.6,74.18,75.14,74.18,0.52,1,35.56,44.45,201.52,0.246,0.04378,0.28978
8/28/2007 8:38,56.12,55,74.07,78.65,74.07,75.24,74.07,0.53,1,36.22,45.275,203.98,0.249,0.04342,0.29242
8/28/2007 8:39,56.22,55,74.49,78.7,74.49,75.35,74.49,0.54,1,35.58,44.475,200.48,0.245,0.04706,0.29206
8/28/2007 8:40,56.55,55,74.28,78.79,74.28,75.14,74.28,0.56,1,36.67,45.8375,200.79,0.247,0.04623,0.29323
8/28/2007 8:41,56.33,55,74.07,78.94,74.07,75.24,74.07,0.58,1,36.65,45.8125,204.14,0.25,0.04394,0.29394
8/28/2007 8:42,56.44,55,74.18,79.05,74.18,75.35,74.18,0.59,1,36.65,45.8125,204.14,0.25,0.04512,0.29512
8/28/2007 8:43,56.44,55,74.07,79.06,74.07,75.03,74.07,0.61,1,36.87,46.0875,201.89,0.248,0.0442,0.2922
8/28/2007 8:44,56.66,55,74.07,78.97,74.07,75.14,74.07,0.63,1,37.34,46.675,203.25,0.25,0.04476,0.29476
8/28/2007 8:45,56.66,55,74.07,78.96,74.07,75.03,74.07,0.65,1,37.34,46.675,202.04,0.249,0.04476,0.29376
8/28/2007 8:46,56.76,55,73.97,78.95,73.97,75.14,73.97,0.67,1,37.77,47.2125,204.48,0.252,0.04417,0.29617
8/28/2007 8:47,56.66,55,73.97,78.91,73.97,74.92,73.97,0.69,1,37.56,46.95,202.01,0.249,0.04392,0.29292
8/28/2007 8:48,56.66,55,73.86,78.93,73.86,75.03,73.86,0.71,1,37.8,47.25,204.53,0.252,0.04298,0.29498
8/28/2007 8:49,56.76,55,73.76,79.08,73.76,75.03,73.76,0.74,1,38.24,47.8,205.78,0.254,0.04235,0.29635
8/28/2007 8:50,57.09,55,73.86,79.22,73.86,75.14,73.86,0.76,1,38.77,48.4625,206.12,0.255,0.04408,0.29908
8/28/2007 8:51,56.98,55,73.76,79.35,73.76,75.14,73.76,0.78,1,38.74,48.425,207.22,0.256,0.0429,0.2989
8/28/2007 8:52,57.41,55,73.76,79.41,73.76,75.03,73.76,0.82,1,39.76,49.7,206.35,0.256,0.04403,0.30003
8/28/2007 8:53,57.41,55,73.76,79.36,73.76,75.14,73.76,0.84,1,39.76,49.7,207.64,0.257,0.04403,0.30103
8/28/2007 8:54,57.41,55,73.76,79.43,73.76,75.03,73.76,0.88,1,39.76,49.7,206.35,0.256,0.04403,0.30003
8/28/2007 8:55,57.62,55,73.86,79.59,73.86,75.14,73.86,0.91,1,40.03,50.0375,206.57,0.257,0.04551,0.30251
8/28/2007 8:56,57.73,55,73.76,79.64,73.76,75.14,73.76,0.94,1,40.56,50.7,208,0.259,0.04492,0.30392
8/28/2007 8:57,57.95,55,73.76,79.74,73.76,75.14,73.76,0.97,1,41.12,51.4,208.2,0.26,0.04554,0.30554
8/28/2007 8:58,58.16,55,73.97,79.8,73.97,75.35,73.97,1,1,41.12,51.4,208.2,0.26,0.04808,0.30808
8/28/2007 8:59,58.48,55,73.76,79.84,73.76,75.14,73.76,1,1,42.55,53.1875,208.8,0.262,0.04712,0.30912
8/28/2007 9:00,58.59,55,73.65,79.89,73.65,75.14,73.65,1,1,43.17,53.9625,210.44,0.264,0.04641,0.31041
8/28/2007 9:01,58.7,55,73.97,79.89,73.97,75.35,73.97,1,1,42.57,53.2125,208.77,0.262,0.04978,0.31178
8/28/2007 9:02,58.7,55,73.65,79.83,73.65,75.14,73.65,1,1,43.49,54.3625,210.6,0.265,0.04676,0.31176
8/28/2007 9:03,58.81,55,73.76,79.85,73.76,75.14,73.76,1,1,43.49,54.3625,209.19,0.264,0.04817,0.31217
8/28/2007 9:04,59.13,55,73.76,79.99,73.76,75.14,73.76,1,1,44.44,55.55,209.57,0.265,0.04922,0.31422
8/28/2007 9:05,59.02,55,73.76,80.01,73.76,75.24,73.76,1,1,44.1,55.125,210.69,0.266,0.04884,0.31484
8/28/2007 9:06,58.92,55,73.76,80.05,73.76,75.24,73.76,1,1,43.81,54.7625,210.6,0.265,0.04852,0.31352
8/28/2007 9:07,58.7,55,73.86,80.14,73.86,75.45,73.86,1,1,42.88,53.6,211.56,0.265,0.04875,0.31375
8/28/2007 9:08,58.59,55,73.55,80.22,73.55,75.24,73.55,1,1,43.46,54.325,213.14,0.267,0.04544,0.31244
8/28/2007 9:09,58.38,55,73.86,80.22,73.86,75.35,73.86,1,1,42,52.5,209.94,0.262,0.04775,0.30975
8/28/2007 9:10,58.59,55,73.76,80.27,73.76,75.35,73.76,1,1,42.85,53.5625,211.53,0.265,0.04746,0.31246
8/28/2007 9:11,58.16,55,73.76,80.34,73.76,75.35,73.76,1,1,41.67,52.0875,210.99,0.263,0.04615,0.30915
8/28/2007 9:12,58.05,55,73.65,80.41,73.65,75.35,73.65,1,1,41.67,52.0875,212.34,0.264,0.0448,0.3088
8/28/2007 9:13,57.95,55,73.76,80.42,73.76,75.35,73.76,1,1,41.12,51.4,210.75,0.262,0.04554,0.30754
8/28/2007 9:14,57.84,55,73.55,80.45,73.55,75.14,73.55,1,1,41.38,51.725,210.86,0.263,0.04327,0.30627
8/28/2007 9:15,57.73,55,73.55,80.62,73.55,75.24,73.55,1,1,41.09,51.3625,211.92,0.263,0.04297,0.30597
8/28/2007 9:16,57.52,55,73.44,80.54,73.44,75.14,73.44,1,1,40.84,51.05,211.96,0.263,0.04138,0.30438
8/28/2007 9:17,57.62,55,73.34,80.52,73.34,75.14,73.34,1,1,41.36,51.7,213.44,0.265,0.04069,0.30569
8/28/2007 9:18,57.3,55,73.55,80.59,73.55,75.35,73.55,1,1,40.01,50.0125,212.72,0.263,0.04184,0.30484
8/28/2007 9:19,57.19,55,73.55,80.68,73.55,75.35,73.55,1,1,39.74,49.675,212.57,0.262,0.04155,0.30355
8/28/2007 9:20,57.3,55,73.13,80.79,73.13,75.03,73.13,1,1,41.07,51.3375,214.48,0.266,0.03786,0.30386
8/28/2007 9:21,57.3,55,73.13,80.88,73.13,75.03,73.13,1,1,41.07,51.3375,214.48,0.266,0.03786,0.30386
8/28/2007 9:22,56.98,55,73.23,80.86,73.23,75.14,73.23,1,1,40.01,50.0125,214.01,0.264,0.03807,0.30207
8/28/2007 9:23,57.19,55,73.13,80.84,73.13,75.03,73.13,1,1,40.78,50.975,214.29,0.265,0.0376,0.3026
8/28/2007 9:24,56.87,55,72.92,80.8,72.92,75.03,72.92,1,1,40.51,50.6375,216.69,0.267,0.03484,0.30184
8/28/2007 9:25,56.76,55,73.13,80.79,73.13,75.24,73.13,1,1,39.71,49.6375,216.15,0.266,0.03661,0.30261
8/28/2007 9:26,56.98,55,73.02,80.92,73.02,74.92,73.02,1,1,40.53,50.6625,214.17,0.265,0.03605,0.30105
8/28/2007 9:27,56.98,55,73.02,81.04,73.02,75.03,73.02,1,1,40.53,50.6625,215.48,0.266,0.03605,0.30205
8/28/2007 9:28,56.87,55,73.34,81.13,73.34,75.24,73.34,1,1,39.47,49.3375,213.57,0.263,0.03883,0.30183
8/28/2007 9:29,56.66,55,73.23,81.22,73.23,75.14,73.23,1,1,39.23,49.0375,213.54,0.263,0.03732,0.30032
8/28/2007 9:30,56.55,55,73.23,81.3,73.23,75.14,73.23,1,1,38.98,48.725,213.44,0.262,0.03709,0.29909
8/28/2007 9:31,56.66,55,73.13,81.25,73.13,75.24,73.13,1,1,39.47,49.3375,216.01,0.265,0.03639,0.30139
8/28/2007 9:32,56.55,55,72.92,81.32,72.92,74.92,72.92,1,1,39.71,49.6375,214.87,0.265,0.03415,0.29915
8/28/2007 9:33,56.44,55,72.81,81.56,72.81,75.03,72.81,1,1,39.71,49.6375,217.44,0.267,0.03287,0.29987
8/28/2007 9:34,56.33,55,73.02,81.75,73.02,75.14,73.02,1,1,38.95,48.6875,215.8,0.264,0.03465,0.29865
8/28/2007 9:35,56.76,55,73.02,81.85,73.02,75.24,73.02,1,1,39.98,49.975,217.62,0.268,0.03556,0.30356
8/28/2007 9:36,56.66,55,73.23,81.87,73.23,75.24,73.23,1,1,39.23,49.0375,214.69,0.264,0.03732,0.30132
8/28/2007 9:37,56.55,55,73.02,81.73,73.02,75.03,73.02,1,1,39.47,49.3375,214.85,0.264,0.03511,0.29911
8/28/2007 9:38,56.33,55,73.02,81.83,73.02,75.24,73.02,1,1,38.95,48.6875,216.95,0.266,0.03465,0.30065
8/28/2007 9:39,56.55,55,72.81,82.04,72.81,75.03,72.81,1,1,39.98,49.975,217.62,0.268,0.03309,0.30109
8/28/2007 9:40,56.55,55,72.92,82.17,72.92,75.03,72.92,1,1,39.71,49.6375,216.15,0.266,0.03415,0.30015
8/28/2007 9:41,56.44,55,73.23,82.21,73.23,75.24,73.23,1,1,38.72,48.4,214.41,0.263,0.03684,0.29984
8/28/2007 9:42,56.76,55,73.13,82.35,73.13,75.24,73.13,1,1,39.71,49.6375,216.15,0.266,0.03661,0.30261
8/28/2007 9:43,56.44,55,73.02,82.42,73.02,75.24,73.02,1,1,39.21,49.0125,217.13,0.266,0.03488,0.30088
8/28/2007 9:44,56.55,55,73.13,82.38,73.13,75.24,73.13,1,1,39.21,49.0125,215.86,0.265,0.03615,0.30115
8/28/2007 9:45,56.55,55,72.81,82.49,72.81,75.03,72.81,1,1,39.98,49.975,217.62,0.268,0.03309,0.30109
8/28/2007 9:46,56.55,55,72.92,82.52,72.92,75.03,72.92,1,1,39.71,49.6375,216.15,0.266,0.03415,0.30015
8/28/2007 9:47,56.66,55,73.02,82.6,73.02,75.14,73.02,1,1,39.74,49.675,216.32,0.266,0.03535,0.30135
8/28/2007 9:48,56.44,55,73.13,82.68,73.13,75.35,73.13,1,1,38.95,48.6875,216.95,0.266,0.03591,0.30191
8/28/2007 9:49,56.44,55,72.92,82.77,72.92,75.03,72.92,1,1,39.45,49.3125,216.01,0.265,0.03393,0.29893
8/28/2007 9:50,56.44,55,73.13,82.77,73.13,75.35,73.13,1,1,38.95,48.6875,216.95,0.266,0.03591,0.30191
8/28/2007 9:51,56.44,55,73.02,82.93,73.02,75.24,73.02,1,1,39.21,49.0125,217.13,0.266,0.03488,0.30088
8/28/2007 9:52,56.44,55,72.92,83.11,72.92,75.14,72.92,1,1,39.45,49.3125,217.29,0.267,0.03393,0.30093
8/28/2007 9:53,56.66,55,72.81,83.04,72.81,75.35,72.81,1,1,40.25,50.3125,221.58,0.272,0.03331,0.30531
8/28/2007 9:54,56.44,55,73.13,83.11,73.13,75.35,73.13,1,1,38.95,48.6875,216.95,0.266,0.03591,0.30191
8/28/2007 9:55,56.44,55,72.81,83.18,72.81,75.03,72.81,1,1,39.71,49.6375,217.44,0.267,0.03287,0.29987
8/28/2007 9:56,56.66,55,73.02,83.3,73.02,75.14,73.02,1,1,39.74,49.675,216.32,0.266,0.03535,0.30135
8/28/2007 9:57,56.44,55,73.13,83.45,73.13,75.14,73.13,1,1,38.95,48.6875,214.54,0.263,0.03591,0.29891
8/28/2007 9:58,56.44,55,73.13,83.48,73.13,75.45,73.13,1,1,38.95,48.6875,218.1,0.267,0.03591,0.30291
8/28/2007 9:59,56.66,55,73.13,83.6,73.13,75.45,73.13,1,1,39.47,49.3375,218.45,0.268,0.03639,0.30439
8/28/2007 10:00,56.66,55,72.81,83.73,72.81,75.14,72.81,1,1,40.25,50.3125,219.09,0.269,0.03331,0.30231
8/28/2007 10:01,56.44,55,73.02,83.9,73.02,75.24,73.02,1,1,39.21,49.0125,217.13,0.266,0.03488,0.30088
8/28/2007 10:02,56.55,55,73.34,83.82,73.34,75.45,73.34,1,1,38.72,48.4,215.55,0.264,0.03809,0.30209
8/28/2007 10:03,56.33,55,73.23,83.73,73.23,75.45,73.23,1,1,38.47,48.0875,216.65,0.265,0.0366,0.3016
8/28/2007 10:04,56.22,55,73.02,83.52,73.02,75.35,73.02,1,1,38.7,48.375,218.06,0.266,0.03443,0.30043
8/28/2007 10:05,56.12,55,73.23,83.61,73.23,75.56,73.23,1,1,38,47.5,217.59,0.265,0.03615,0.30115
8/28/2007 10:06,56.33,55,72.92,83.6,72.92,75.24,72.92,1,1,39.19,48.9875,218.28,0.267,0.03371,0.30071
8/28/2007 10:07,56.33,55,72.92,83.41,72.92,75.35,72.92,1,1,39.19,48.9875,219.55,0.269,0.03371,0.30271
8/28/2007 10:08,56.01,55,73.13,83.46,73.13,75.56,73.13,1,1,37.97,47.4625,218.65,0.266,0.03501,0.30101
8/28/2007 10:09,56.01,55,72.92,83.54,72.92,75.35,72.92,1,1,38.45,48.0625,219.03,0.267,0.03307,0.30007
8/28/2007 10:10,56.22,55,73.02,83.68,73.02,75.35,73.02,1,1,38.7,48.375,218.06,0.266,0.03443,0.30043
8/28/2007 10:11,56.01,55,73.02,83.74,73.02,75.45,73.02,1,1,38.22,47.775,218.85,0.267,0.034,0.301
8/28/2007 10:12,55.9,55,72.92,83.86,72.92,75.35,72.92,1,1,38.2,47.75,218.85,0.267,0.03286,0.29986
8/28/2007 10:13,56.12,55,72.92,83.91,72.92,75.45,72.92,1,1,38.7,48.375,220.34,0.269,0.03329,0.30229
8/28/2007 10:14,56.12,55,73.13,83.99,73.13,75.56,73.13,1,1,38.22,47.775,218.85,0.267,0.03524,0.30224
8/28/2007 10:15,56.12,55,73.13,84.18,73.13,75.45,73.13,1,1,38.22,47.775,217.61,0.265,0.03524,0.30024
8/28/2007 10:16,56.12,55,73.23,84.15,73.23,75.67,73.23,1,1,38,47.5,218.82,0.266,0.03615,0.30215
8/28/2007 10:17,56.12,55,73.34,84.22,73.34,75.67,73.34,1,1,37.75,47.1875,217.38,0.265,0.03714,0.30214
8/28/2007 10:18,56.12,55,73.13,84.25,73.13,75.67,73.13,1,1,38.22,47.775,220.09,0.268,0.03524,0.30324
